fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica
2025-07-27,Violencia familiar,-103.34977075440509,20.775856134304387,LA MESA COLORADA PONIENTE,ZAPOPAN,120,23:40,La familia,AMG
2025-02-01,Violencia familiar,-103.34298624412264,20.77090391873924,LA MESA COLORADA PONIENTE,ZAPOPAN,120,10:30,La familia,AMG
2025-02-15,Violencia familiar,-103.35279266215584,20.7708717952042,LA MESA COLORADA PONIENTE,ZAPOPAN,120,18:00,La familia,AMG
2025-04-17,Violencia familiar,-103.34533389279754,20.774928195369245,LA MESA COLORADA PONIENTE,ZAPOPAN,120,12:30,La familia,AMG
2025-04-19,Violencia familiar,-103.33625947349984,20.76335050555166,MESA COLORADA ORIENTE,ZAPOPAN,120,17:00,La familia,AMG
2025-04-21,Violencia familiar,-103.46264723937298,20.70460001309061,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-05-19,Violencia familiar,-103.34491846797604,20.76898044547207,LA MESA COLORADA PONIENTE,ZAPOPAN,120,22:00,La familia,AMG
2025-06-28,Violencia familiar,-103.34709732320292,20.76910079237688,LA MESA COLORADA PONIENTE,ZAPOPAN,120,11:00,La familia,AMG
2025-07-19,Violencia familiar,-103.45417979959905,20.711199942740265,SAN JUAN DE OCOTAN,ZAPOPAN,120,0.45833333333333331,La familia,AMG
2025-08-01,Violencia familiar,-103.34439757348945,20.76830697923825,LA MESA COLORADA PONIENTE,ZAPOPAN,120,23:00,La familia,AMG
2025-08-08,Violencia familiar,-103.45472961853166,20.708106397591088,SAN JUAN DE OCOTAN,ZAPOPAN,120,23:30,La familia,AMG
2025-08-08,Violencia familiar,-103.45534364695976,20.70814804160796,SAN JUAN DE OCOTAN,ZAPOPAN,120,19:00,La familia,AMG
2025-08-22,Violencia familiar,-103.33940631582036,20.762766707435567,MESA COLORADA ORIENTE,ZAPOPAN,120,00:40,La familia,AMG
2025-08-22,Violencia familiar,-103.34674271588668,20.776592465637925,LA MESA COLORADA PONIENTE,ZAPOPAN,120,21:13,La familia,AMG
2025-08-22,Violencia familiar,-103.49206162262573,20.7948794747501,EL HUMEDO DE NEXTIPAC,ZAPOPAN,120,21:00,La familia,AMG
2025-10-09,Violencia familiar,-103.47069220538222,20.701762855520364,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2025-10-22,Violencia familiar,-103.4528379281828,20.712868112377564,SAN JUAN DE OCOTAN,ZAPOPAN,120,19:00,La familia,AMG
2025-10-31,Violencia familiar,-103.34375914049384,20.770486821306733,LA MESA COLORADA PONIENTE,ZAPOPAN,120,17:50,La familia,AMG
2025-10-24,Violencia familiar,-103.4509681851988,20.706012965963048,SAN JUAN DE OCOTAN,ZAPOPAN,120,01:00,La familia,AMG
